step,tag,value
146,Train/Loss_step,2.7149548530578613
146,Train/Loss_step,2.682514190673828
147,Train/Loss_step,2.71343731880188
147,Train/Loss_step,2.7121763229370117
148,Train/Loss_step,2.743349313735962
148,Train/Loss_step,2.786576986312866
149,Train/Loss_step,2.747039794921875
149,Train/Loss_step,2.747973680496216
150,Train/Loss_step,2.7629547119140625
150,Train/Loss_step,2.7124462127685547
151,Train/Loss_step,2.735633611679077
151,Train/Loss_step,2.726628541946411
152,Train/Loss_step,2.772974729537964
152,Train/Loss_step,2.7477614879608154
153,Train/Loss_step,2.7200324535369873
153,Train/Loss_step,2.776657819747925
154,Train/Loss_step,2.734034776687622
154,Train/Loss_step,2.716184139251709
155,Train/Loss_step,2.705721139907837
155,Train/Loss_step,2.6737260818481445
156,Train/Loss_step,2.743229866027832
156,Train/Loss_step,2.742124557495117
157,Train/Loss_step,2.7418112754821777
157,Train/Loss_step,2.7583322525024414
158,Train/Loss_step,2.756129503250122
158,Train/Loss_step,2.717489242553711
159,Train/Loss_step,2.743499517440796
159,Train/Loss_step,2.70084810256958
160,Train/Loss_step,2.750898599624634
160,Train/Loss_step,2.7143495082855225
161,Train/Loss_step,2.7273590564727783
161,Train/Loss_step,2.736809015274048
162,Train/Loss_step,2.7078654766082764
162,Train/Loss_step,2.7160799503326416
163,Train/Loss_step,2.657895565032959
163,Train/Loss_step,2.674358367919922
164,Train/Loss_step,2.652106761932373
164,Train/Loss_step,2.727386713027954
165,Train/Loss_step,2.6859538555145264
165,Train/Loss_step,2.7216596603393555
166,Train/Loss_step,2.692814826965332
166,Train/Loss_step,2.6798107624053955
167,Train/Loss_step,2.6540417671203613
167,Train/Loss_step,2.74760103225708
168,Train/Loss_step,2.6736958026885986
168,Train/Loss_step,2.711158037185669
169,Train/Loss_step,2.72346830368042
169,Train/Loss_step,2.698134422302246
170,Train/Loss_step,2.677996873855591
170,Train/Loss_step,2.680490493774414
171,Train/Loss_step,2.7236287593841553
171,Train/Loss_step,2.703958511352539
172,Train/Loss_step,2.6756622791290283
172,Train/Loss_step,2.677706480026245
173,Train/Loss_step,2.723623275756836
173,Train/Loss_step,2.6790242195129395
174,Train/Loss_step,2.7120449542999268
174,Train/Loss_step,2.694427251815796
175,Train/Loss_step,2.6872026920318604
175,Train/Loss_step,2.679015874862671
176,Train/Loss_step,2.6957030296325684
176,Train/Loss_step,2.711538076400757
177,Train/Loss_step,2.6834161281585693
177,Train/Loss_step,2.7157952785491943
178,Train/Loss_step,2.7055981159210205
178,Train/Loss_step,2.6984124183654785
179,Train/Loss_step,2.691850423812866
179,Train/Loss_step,2.6640892028808594
180,Train/Loss_step,2.726670265197754
180,Train/Loss_step,2.663541078567505
181,Train/Loss_step,2.692711591720581
181,Train/Loss_step,2.6793413162231445
182,Train/Loss_step,2.667675256729126
182,Train/Loss_step,2.702688217163086
183,Train/Loss_step,2.6349892616271973
183,Train/Loss_step,2.684431552886963
184,Train/Loss_step,2.6957836151123047
184,Train/Loss_step,2.687506914138794
185,Train/Loss_step,2.63818097114563
185,Train/Loss_step,2.7001047134399414
186,Train/Loss_step,2.685559034347534
186,Train/Loss_step,2.719431161880493
187,Train/Loss_step,2.6437017917633057
187,Train/Loss_step,2.7122299671173096
188,Train/Loss_step,2.671928882598877
188,Train/Loss_step,2.6602237224578857
189,Train/Loss_step,2.6132941246032715
189,Train/Loss_step,2.676016330718994
190,Train/Loss_step,2.702054977416992
190,Train/Loss_step,2.6945302486419678
191,Train/Loss_step,2.6791775226593018
191,Train/Loss_step,2.6847000122070312
192,Train/Loss_step,2.6643049716949463
192,Train/Loss_step,2.6875617504119873
193,Train/Loss_step,2.625995635986328
193,Train/Loss_step,2.6742303371429443
194,Train/Loss_step,2.70680570602417
194,Train/Loss_step,2.7019400596618652
195,Train/Loss_step,2.6547298431396484
195,Train/Loss_step,2.6709840297698975
196,Train/Loss_step,2.6795144081115723
196,Train/Loss_step,2.647585391998291
197,Train/Loss_step,2.6899254322052
197,Train/Loss_step,2.7010085582733154
198,Train/Loss_step,2.7134599685668945
198,Train/Loss_step,2.6834049224853516
199,Train/Loss_step,2.644226551055908
199,Train/Loss_step,2.6628365516662598
200,Train/Loss_step,2.5886173248291016
200,Train/Loss_step,2.6562411785125732
201,Train/Loss_step,2.632612466812134
201,Train/Loss_step,2.648242712020874
202,Train/Loss_step,2.6609017848968506
202,Train/Loss_step,2.6561014652252197
203,Train/Loss_step,2.6416287422180176
203,Train/Loss_step,2.661867141723633
204,Train/Loss_step,2.7172696590423584
204,Train/Loss_step,2.6624319553375244
205,Train/Loss_step,2.6603267192840576
205,Train/Loss_step,2.668473720550537
206,Train/Loss_step,2.620272159576416
206,Train/Loss_step,2.618771553039551
207,Train/Loss_step,2.6559762954711914
207,Train/Loss_step,2.6909337043762207
208,Train/Loss_step,2.6485378742218018
208,Train/Loss_step,2.67535400390625
209,Train/Loss_step,2.638643264770508
209,Train/Loss_step,2.6130826473236084
210,Train/Loss_step,2.6827328205108643
210,Train/Loss_step,2.5643069744110107
211,Train/Loss_step,2.674363613128662
211,Train/Loss_step,2.6338918209075928
212,Train/Loss_step,2.659810781478882
212,Train/Loss_step,2.6499691009521484
213,Train/Loss_step,2.650219440460205
213,Train/Loss_step,2.6562397480010986
214,Train/Loss_step,2.5883708000183105
214,Train/Loss_step,2.6456007957458496
215,Train/Loss_step,2.5888142585754395
215,Train/Loss_step,2.6100032329559326
216,Train/Loss_step,2.6630680561065674
216,Train/Loss_step,2.640695810317993
217,Train/Loss_step,2.6208202838897705
217,Train/Loss_step,2.6273059844970703
218,Train/Loss_step,2.607792615890503
218,Train/Loss_step,2.638972759246826
219,Train/Loss_step,2.64274525642395
219,Train/Loss_step,2.6788904666900635
220,Train/Loss_step,2.546091318130493
220,Train/Loss_step,2.6996493339538574
221,Train/Loss_step,2.6151840686798096
